#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu May 17 07:48:10 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P41,DATA<29>,IOB,IO_L64P_D8_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P42,,,VCCO_2,,,2,,,,,3.30,,,,
P43,DATA<28>,IOB,IO_L62N_D6_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P44,DATA<27>,IOB,IO_L62P_D5_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P45,DATA<23>,IOB,IO_L49N_D4_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P46,DATA<25>,IOB,IO_L49P_D3_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P47,DATA<24>,IOB,IO_L48N_RDWR_B_VREF_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P48,DATA<26>,IOB,IO_L48P_D7_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,DATA<22>,IOB,IO_L31N_GCLK30_D15_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P51,DATA<21>,IOB,IO_L31P_GCLK31_D14_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,2.5,,,,
P54,,,GND,,,,,,,,,,,,
P55,DATA<20>,IOB,IO_L30N_GCLK0_USERCCLK_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P56,CLK,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P57,DATA<19>,IOB,IO_L14N_D12_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P58,DATA<18>,IOB,IO_L14P_D11_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P59,DATA<17>,IOB,IO_L13N_D10_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P60,DATA<16>,IOB,IO_L13P_M1_2,BIDIR,LVTTL,2,12,SLOW,,NONE,,UNLOCATED,NO,NONE,
P61,DATA<15>,IOB,IO_L12N_D2_MISO3_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P62,DATA<14>,IOB,IO_L12P_D1_MISO2_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,DATA<13>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P65,DATA<12>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P66,DATA<11>,IOB,IO_L2N_CMPMOSI_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P67,DATA<10>,IOB,IO_L2P_CMPCLK_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P68,,,GND,,,,,,,,,,,,
P69,DATA<9>,IOB,IO_L1N_M0_CMPMISO_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P70,DATA<8>,IOB,IO_L1P_CCLK_2,TRISTATE,LVTTL,2,12,SLOW,,,,UNLOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
P75,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,A<11>,IOB,IO_L47N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P79,,IOBM,IO_L47P_1,UNUSED,,1,,,,,,,,,
P80,A<10>,IOB,IO_L46N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P81,,IOBM,IO_L46P_1,UNUSED,,1,,,,,,,,,
P82,A<9>,IOB,IO_L45N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P83,,IOBM,IO_L45P_1,UNUSED,,1,,,,,,,,,
P84,nBLE,IOB,IO_L43N_GCLK4_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P85,,IOBM,IO_L43P_GCLK5_1,UNUSED,,1,,,,,,,,,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,nBHE,IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P88,,IOBM,IO_L42P_GCLK7_1,UNUSED,,1,,,,,,,,,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,2.5,,,,
P91,,,GND,,,,,,,,,,,,
P92,nOE,IOB,IO_L41N_GCLK8_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P93,,IOBM,IO_L41P_GCLK9_IRDY1_1,UNUSED,,1,,,,,,,,,
P94,nWE,IOB,IO_L40N_GCLK10_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P95,result_out<7>,IOB,IO_L40P_GCLK11_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P96,,,GND,,,,,,,,,,,,
P97,nCE,IOB,IO_L34N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P98,result_out<6>,IOB,IO_L34P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P99,A<8>,IOB,IO_L33N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P100,result_out<5>,IOB,IO_L33P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P101,A<7>,IOB,IO_L32N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P102,result_out<4>,IOB,IO_L32P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,A<6>,IOB,IO_L1N_VREF_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P105,result_out<3>,IOB,IO_L1P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,NO,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,A<5>,IOB,IO_L66N_SCP0_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P112,result_out<2>,IOB,IO_L66P_SCP1_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P113,,,GND,,,,,,,,,,,,
P114,A<0>,IOB,IO_L65N_SCP2_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P115,result_out<1>,IOB,IO_L65P_SCP3_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P116,A<1>,IOB,IO_L64N_SCP4_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P117,result_out<0>,IOB,IO_L64P_SCP5_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P118,A<2>,IOB,IO_L63N_SCP6_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P119,wr_rd_o,IOB,IO_L63P_SCP7_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P120,A<3>,IOB,IO_L62N_VREF_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P121,GRST,IOB,IO_L62P_0,INPUT,LVTTL,0,,,,NONE,,LOCATED,NO,NONE,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,state_out<7>,IOB,IO_L37N_GCLK12_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,state_out<6>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,state_out<5>,IOB,IO_L36N_GCLK14_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,state_out<4>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,2.5,,,,
P130,,,GND,,,,,,,,,,,,
P131,state_out<3>,IOB,IO_L35N_GCLK16_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,state_out<2>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P133,state_out<1>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,state_out<0>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,IO<0>,IOB,IO_L4N_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P138,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
P139,IO<1>,IOB,IO_L3N_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P140,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
P141,IO<2>,IOB,IO_L2N_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P142,op_done_o,IOB,IO_L2P_0,OUTPUT,LVTTL,0,12,SLOW,,,,UNLOCATED,NO,NONE,
P143,IO<3>,IOB,IO_L1N_VREF_0,BIDIR,LVTTL,0,12,SLOW,,NONE,,LOCATED,NO,NONE,
P144,ERR,IOB,IO_L1P_HSWAPEN_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
